ticker,cik,name,sic,exchange,hits
A,1090872,"Agilent Technologies Inc",3825,NYSE,11
AA,4281,"Alcoa Inc",3350,NYSE,34
AAACU,1332552,"Asia Automotive Acquisition Corp",6770,,0
AABB,1287145,"Asia Broadband Inc",8200,OTC,0
AABC,1024015,"Access Anytime Bancorp Inc",6035,,0
AAC,1099290,"Sinocoking Coal & Coke Chemical Industries Inc",3312,NASDAQ,3
AACC,1264707,"Asset Acceptance Capital Corp",6153,,1
AACE,849116,"Ace Cash Express Inc",6099,,0
AAGC,1409430,"All American Gold Corp",1040,OTC,0
AAI,948846,"Airtran Holdings Inc",4512,,0
AAIIQ,1013243,"Aaipharma Inc",8734,OTC,0
AAIR,1303849,"Avantair Inc",4522,OTC,0
AAL,6201,"American Airlines Group Inc",4512,NASDAQ,16
AAMC,852015,"American Asset Management Corp",6162,OTC,1
AAMC,1555074,"Altisource Asset Management Corp",6500,OTC,1
AAME,8177,"Atlantic American Corp",6311,NASDAQ,1
AAML,1281629,"Adera Mines LTD",1040,,0
AAMU,1123648,"American Ammunition Inc",3990,,0
AAN,706688,"Aarons Inc",7359,NYSE,10
AANB,356809,"Abigail Adams National Bancorp Inc",6021,,0
AANI,933955,"Amedia Networks Inc",4813,,0
AAOI,1158114,"Applied Optoelectronics Inc",3674,NASDAQ,2
AAON,824142,"Aaon Inc",3585,NASDAQ,12
AAOR,1305748,"Healthcare Providers Direct Inc",5047,,0
AAP,1158449,"Advance Auto Parts Inc",5531,NYSE,5
AAPH,1040482,"American Petro-hunter Inc",1389,OTC,0
AAPL,320193,"Apple Inc",3571,NASDAQ,716
AAPT,1362502,"All American Pet Company Inc",2040,OTC,0
AARI,1424864,"Patriot Minefinders Inc",1000,,0
AARS,1411058,"Asia Atlantic Resources",1000,,0
AASP,930245,"All American Sportpark Inc",5900,OTC,0
AASR,703701,"Ushealth Group Inc",6321,,0
AAT,1500217,"American Assets Trust Inc",6798,NYSE,0
AATI,1104042,"Advanced Analogic Technologies Inc",3674,,0
AAUI,1419260,"Andina Group Inc",7310,OTC,0
AAVG,1077319,"Avstar Aviation Group Inc",4581,OTC,0
AAXT,1358940,"Aamaxan Transport Group Inc",9995,OTC,0
AB,801558,"Cannon Express Inc",4213,NYSE,0
AB,825313,"Alliancebernstein Holding LP",6282,NYSE,0
ABAT,745651,"Advanced Battery Technologies Inc",3690,OTC,0
ABAX,881890,"Abaxis Inc",3829,NASDAQ,9
ABBB,1428802,"Auburn Bancorp Inc",6035,OTCBB,0
ABBC,1292898,"Abington Community Bancorp Inc",6036,,0
ABBC,1397533,"Abington Bancorp Inc",6036,,0
ABBK,812146,"Abington Bancorp Inc",6036,,0
ABBV,1551152,"Abbvie Inc",2834,NYSE,10
ABC,1140859,"Amerisourcebergen Corp",5122,NYSE,3
ABCB,351569,"Ameris Bancorp",6022,NASDAQ,1
ABCC,1009624,"Wherevertv Broadcasting Corp",7389,,0
ABCD,1466815,"Cambium Learning Group Inc",2741,NASDAQ,1
ABCO,1157377,"Advisory Board Co",8741,NASDAQ,1
ABCP,20639,"Ambase Corp",6512,OTC,0
ABCR,1490700,"Varca Ventures Inc",1000,OTC,0
ABCR,1528234,"Abc Records Management & Data Storage Inc",4220,OTC,0
ABCW,885322,"Anchor Bancorp Wisconsin Inc",6036,OTC,1
ABDV,812805,"Atlantis Technology Group",6153,,0
ABER,841071,"Dominion Diamond Corp",1000,NYSE,0
ABEW,1297533,"Airbee Wireless Inc",7372,,0
ABF,3000,"Airborne Inc",4513,,0
ABFI,772349,"American Business Financial Services Inc",6162,,0
ABFS,894405,"Arkansas Best Corp",4213,NASDAQ,0
ABG,1144980,"Asbury Automotive Group Inc",5500,NYSE,0
ABGTF,1036140,"Assistglobal Technologies Corp",7372,,0
ABGX,1052837,"Abgenix Inc",2836,,0
ABH,1393066,"Resolute Forest Products Inc",2621,NYSE,0
ABHD,1405858,"Abtech Holdings Inc",1090,OTC,0
ABHH,1052489,"American Bank Note Holographics Inc",7389,,0
ABI,77551,"Applied Biosystems Inc",3826,"NYSE ARCA",0
ABII,1409012,"Abraxis Bioscience Inc",2834,NASDAQ,0
ABIX,845779,"Abatix Corp",5084,,0
ABK,874501,"Ambac Financial Group Inc",6351,NASDAQ,0
ABKB,1332044,"American Basketball Association Inc",6770,OTC,0
ABKI,1400000,"Abakan Inc",3470,OTC,0
ABL,4611,"American Biltrite Inc",3089,,0
ABLE,1065728,"Able Energy Inc",5990,OTC,0
ABM,771497,"Abm Industries Inc",7340,NYSE,5
ABMC,896747,"American Bio Medica Corp",2834,OTC,0
ABMD,815094,"Abiomed Inc",3841,NASDAQ,8
ABMT,1385799,"Advanced Biomedical Technologies Inc",3842,OTC,0
ABNC,721238,"American Bancorp Inc",6022,OTC,0
ABNJ,1330039,"American Bancorp Of New Jersey Inc",6035,,0
ABNS,1140472,"Alliance Bancshares California",6021,,0
ABOS,1138862,"Arbios Systems Inc",3841,,0
ABOZ,1342916,"American Bonanza Resources Corp",1000,,1
ABPH,1096182,"Advanced Biophotonics Inc",3829,,0
ABPI,1310094,"Accentia Biopharmaceuticals Inc",2834,OTC,0
ABPR,816958,"Caspian International Oil Corp",6770,OTC,0
ABR,1253986,"Arbor Realty Trust Inc",6798,NYSE,1
ABRI,1923,"Servidyne Inc",1540,,0
ABRK,803097,"Sportsquest Inc",7900,,0
ABRM,1112706,"Canyon Copper Corp",1000,,0
ABRX,857171,"Able Laboratories Inc",2835,,0
ABS,3333,"Albertsons Inc",5411,NYSE,0
ABS,1355833,"New Albertsons Inc",5140,,0
ABSC,1204947,"Giant Motorsports Inc",5900,,0
ABT,1800,"Abbott Laboratories",2834,NYSE,13
ABTL,1023364,"Autobytel Inc",7370,NASDAQ,1
ABTO,1435161,"Ab&t Financial Corp",6021,OTC,0
ABVA,1181001,"Alliance Bankshares Corp",6021,,0
ABVT,1043533,"Abovenet Inc",4899,NYSE,0
ABWG,1035632,"Watley A B Group Inc",6211,OTC,0
ABWS,1002360,"Absolute Potential Inc",2851,,0
ACA,1304623,"Aca Capital Holdings Inc",6351,NYSE,0
ACAD,1070494,"Acadia Pharmaceuticals Inc",2834,NASDAQ,7
ACAI,904020,"Flyi Inc",4512,,0
ACAP,1118148,"American Physicians Capital Inc",6324,,0
ACAR,1429896,"Activecare Inc",3669,OTC,0
ACAS,817473,"American Capital LTD",,NASDAQ,0
ACAT,719866,"Arctic Cat Inc",3790,NASDAQ,1
ACBA,1106980,"American Community Bancshares Inc",6022,,0
ACBP,1303476,"American Community Bancorp Inc",6035,,0
ACC,1283630,"American Campus Communities Inc",6798,NYSE,0
ACCA,1001463,"Acacia Diversified Holdings Inc",5010,OTC,0
ACCL,1002388,"Accelrys Inc",7372,NASDAQ,0
ACCM,1388132,"Hangover Joes Holding Corp",6552,,0
ACCP,318306,"Access Pharmaceuticals Inc",2834,OTC,0
ACCR,1041588,"Access Power Inc",4813,OTC,0
ACCY,1337566,"Alternative Construction Company Inc",3448,,0
ACD,847917,"Asconi Corp",2080,"NYSE MKT",0
ACDI,1071941,"Arcadia Resources Inc",7200,"NYSE MKT",0
ACDO,1068887,"Accredo Health Inc",8090,,0
ACDQ,1390449,"Arcade Acquisition Corp",6770,,0
ACE,896159,"Ace LTD",6331,NYSE,0
ACEC,1017526,"Ace Comm Corp",3669,,0
ACEL,708717,"Tamir Biotechnology Inc",2836,,0
ACET,2034,"Aceto Corp",5160,NASDAQ,7
ACF,804269,"General Motors Financial Company Inc",6199,,0
ACFC,1284077,"Atlantic Coast Federal Corp",6035,NASDAQ,1
ACFC,1404296,"Atlantic Coast Financial Corp",6035,NASDAQ,1
