Date,Sum
1/20/17,18477.16003
1/19/17,18438.60998
1/18/17,18451.83008
1/17/17,18454.14004
1/13/17,18515.19002
1/12/17,18504.97011
1/11/17,18475.88999
1/10/17,18522.63003
1/9/17,18481.85
1/6/17,18482.27995
1/5/17,18564.96003
1/4/17,18571.18981
1/3/17,18454
12/30/16,18390.0201
12/29/16,18395.34992
12/28/16,18414.2001
12/27/16,18436.25001
12/23/16,18478.28996
12/22/16,18451.08996
12/21/16,18484.28005
12/20/16,18489.78011
12/19/16,18436.81985
12/16/16,18455.61997
12/15/16,18496.70007
12/14/16,18490.5801
12/13/16,18483.82005
12/12/16,18460.98002
12/9/16,18541.77998
12/8/16,18541.68004
12/7/16,18510.24011
12/6/16,18370.6
12/5/16,18348.85993
12/2/16,18373.60003
12/1/16,18354.68956
11/30/16,18351.06942
11/29/16,18334.04928
11/28/16,18299.62901
11/25/16,18338.8481
11/23/16,18309.16871
11/22/16,18304.71862
11/21/16,18312.21851
11/18/16,18361.19854
11/17/16,18375.68847
11/16/16,18315.35866
11/15/16,18321.00896
11/14/16,18348.67884
11/11/16,18242.2794
11/10/16,18265.68975
11/9/16,18172.8309
11/8/16,18207.75277
11/7/16,18158.30277
11/4/16,18112.95376
11/3/16,18167.97364
11/2/16,18138.2545
11/1/16,18109.59871
10/31/16,18145.53539
10/28/16,18195.3794
10/27/16,18135.17094
10/26/16,18196.53037
10/25/16,18256.88861
10/24/16,18156.68809
10/21/16,18135.07416
10/20/16,18105.8752
10/19/16,18086.64693
10/18/16,18020.63313
10/17/16,17967.0413
10/14/16,17978.54973
10/13/16,17967.02945
10/12/16,17950.32636
10/11/16,17938.12007
10/10/16,17971.5767
10/7/16,17978.20193
10/6/16,18032.99846
10/5/16,18064.75338
10/4/16,18054.01132
10/3/16,18086.58535
9/30/16,18091.86712
9/29/16,18042.87428
9/28/16,18044.48945
9/27/16,18029.55077
9/26/16,18005.96284
9/23/16,17978.35174
9/22/16,17975.50536
9/21/16,17965.94927
9/20/16,17982.48484
9/19/16,17947.39294
9/16/16,17916.30582
9/15/16,17927.18437
9/14/16,17930.18655
9/13/16,17939.32272
9/12/16,17989.66317
9/9/16,17962.38786
9/8/16,18026.98672
9/7/16,18039.63604
9/6/16,18020.86576
9/2/16,18055.04862
9/1/16,18022.54115
8/31/16,18075.76041
8/30/16,18071.97846
8/29/16,18038.24394
8/26/16,18018.77499
8/25/16,18058.09718
8/24/16,18082.34013
8/23/16,18077.56623
8/22/16,18066.31838
8/19/16,18063.81719
8/18/16,18095.39847
8/17/16,18070.54497
8/16/16,18056.47941
8/15/16,18079.55608
8/12/16,18038.34389
8/11/16,18077.10606
8/10/16,18087.10945
8/9/16,18085.26348
8/8/16,18067.74228
8/5/16,18065.56619
8/4/16,18018.65098
8/3/16,18011.70813
8/2/16,18025.55763
8/1/16,18161.59864
7/29/16,18326.9365
7/28/16,18262.62062
7/27/16,18334.11884
7/26/16,18328.54335
7/25/16,18277.64954
7/22/16,18276.00576
